Well Id,Oil_prod,Water_prod
211/21-N7,1103460,0
211/21-N8,44800,0
211/21-N9,2571,2571
211/29-7,0,0
211/29-A1,885072,13583
211/29-A10,52552,52552
211/29-A11,72987,1309
211/29-A12,2167631,352723
211/29-A13,7900371,3898144
211/29-A14,105461,105461
211/29-A15,3302721,854357
211/29-A16,4698355,256962
211/29-A17,668837,200927
211/29-A18,216243,1236
211/29-A19,6653327,2777925
211/29-A2,7557155,801352
211/29-A20,931208,189424
211/29-A21,6658343,2520154
211/29-A22Z,109763,37753
211/29-A23,4277179,1511200
211/29-A24,30101,30101
211/29-A25,20026,20026
211/29-A26,2770642,1085979
211/29-A27,1013773,367882
211/29-A28,1935383,629804
211/29-A29,70624,25344
211/29-A3,1752381,710942
211/29-A30,1282291,728476
211/29-A31,1278186,548501
211/29-A32,25314,2924
211/29-A33,3086738,641018
211/29-A34,566618,280145
211/29-A35,0,0
211/29-A36,1335278,774258
211/29-A38,0,0
211/29-A38Z,1610202,896670
211/29-A39,2203547,1236161
211/29-A4,95667,1027
211/29-A41,402034,275800
211/29-A42,653898,300614
211/29-A43,1102593,699552
211/29-A44,5568214,3447270
211/29-A45,181990,124206
211/29-A46,130278,65014
211/29-A5,8833728,1690188
211/29-A50,371431,239666
211/29-A51,969578,742828
211/29-A52,1071887,626265
211/29-A53,188071,124788
211/29-A54,369229,234733
211/29-A55,309169,99722
211/29-A6,4375071,1189431
211/29-A7,22180,12291
211/29-A8,644445,38398
211/29-A9,398606,299689
211/29-B1,4912356,1257487
211/29-B10,1891644,366962
211/29-B11,11420,11420
211/29-B12,728110,254207
211/29-B13,335454,229242
211/29-B14,10250,10250
211/29-B15,4547686,624028
211/29-B16,43872,43872
211/29-B17,168796,98757
211/29-B18,3777712,824698
211/29-B19,42176,42176
211/29-B2,8393557,1131814
211/29-B20,6499990,2387642
211/29-B21,15093,15093
211/29-B22,5968686,496612
211/29-B23,5235314,1090170
211/29-B24,4457150,1744945
211/29-B25,2639780,272198
211/29-B26,5996599,1934351
211/29-B27,281024,143276
211/29-B28,1768017,617841
211/29-B29,5515997,2677755
211/29-B3,5961546,1557055
211/29-B30,5363,5363
211/29-B31,2912078,1366287
211/29-B32,3869056,1789358
211/29-B33,2777871,1373882
211/29-B34,2731189,1152841
211/29-B35,2475506,902637
211/29-B36,2665425,883729
211/29-B37,848651,160704
211/29-B38,1496799,916949
211/29-B39,2406619,1452254
211/29-B4,8370864,1135343
211/29-B41,18289,2239
211/29-B42,1692712,855834
211/29-B43,1114869,738070
211/29-B44,4197194,3988646
211/29-B45,504435,248875
211/29-B46,2542149,2429342
211/29-B47,6185302,5043736
211/29-B48,2918103,2446442
211/29-B49,1291411,1152756
211/29-B5,7384227,1076714
211/29-B50,2199354,1790835
211/29-B52Y,739455,454161
211/29-B53,25459,764
211/29-B54,389166,260019
211/29-B55,288328,137550
211/29-B56,1408628,975448
211/29-B57,170064,125845
211/29-B58,475784,372848
211/29-B59,129297,73093
211/29-B6,651779,426172
211/29-B62,7263,3057
211/29-B7,149385,33879
211/29-B8,22519,122
211/29-B9,1441204,392689
211/29-C1,7662028,2086753
211/29-C10,8880209,2507601
211/29-C11,37514,31193
211/29-C12,9706,9706
211/29-C13,8534464,2819149
211/29-C14,7266534,2367678
211/29-C15,3176618,556245
211/29-C16,49609,3715
211/29-C17,92740,64322
211/29-C18,10769711,4715402
211/29-C19,8581,8581
211/29-C2,6102007,1791070
211/29-C20,9259107,5044180
211/29-C21,51437,46150
211/29-C22,3117990,706863
211/29-C23,5148812,2716775
211/29-C24,2818916,1198105
211/29-C25,10717998,7347562
211/29-C26,2089777,1541819
211/29-C27,2210120,1340258
211/29-C28,4039053,1319564
211/29-C29,428440,292549
211/29-C3,2892692,364679
211/29-C30,12818512,6316772
211/29-C31,3518833,298357
211/29-C32,2777343,1531503
211/29-C33,888098,246398
211/29-C34,1359170,455146
211/29-C35,571715,22525
211/29-C36,2896917,1089605
211/29-C37,4436723,2337004
211/29-C38,2031535,1191966
211/29-C39,3027687,1635854
211/29-C4,74447,74447
211/29-C40,409370,55898
211/29-C41,5113654,3832074
211/29-C43,1549733,1462692
211/29-C44Z,173517,139033
211/29-C45,530963,202604
211/29-C46,2171794,1942327
211/29-C47,1870508,1708189
211/29-C48,502876,304222
211/29-C49,303113,270430
211/29-C5,32278,32278
211/29-C50,251405,251222
