WELLREGNO,TOPHOLEYDD,TOPHOLEXDD,QUADRANTNO,BLOCKNO,DATUMELEV,WATERDEPTH,Oilp_80_95,Watp_80_95,Oilp_95_10,Watp_95_10,Zone
21/15a- 3,57.64291389,0.964158333,21,15,73,347,916288.2,9471.6,1191174.66,12313.08,F
21/15b- 5,57.65920611,0.852668889,21,15,82,386,30090761.1,22395521.7,39117989.43,29114178.21,F
21/17- 2,57.38088889,0.338444444,21,17,82,260,1414720.8,953349.3,1839137.04,1239354.09,F
29/06b- 5,56.71155556,1.028722222,29,6,80,300,1485,1455.3,1930.5,1891.89,F
29/02b- 5,56.986505,1.390252778,29,2,85,333,4495.5,3.6,5844.15,4.68,F
29/03- 1,56.83955556,1.564472222,29,3,78,314,65318.4,284.4,84913.92,369.72,F
29/03a- 3,56.84102778,1.536027778,29,3,89,315,16928532.9,11162617.2,22007092.77,14511402.36,F
29/03b- 4,56.90680556,1.5055,29,3,86,320,72281.7,3885.3,93966.21,5050.89,F
29/04b- 3,56.97975278,1.689180556,29,4,156,308,500567.4,95335.2,650737.62,123935.76,F
16/26-B41Z,58.04869361,1.138558056,16,26,205,447,0,0,0,0,F
16/27- 1A,58.03584167,1.390313889,16,27,77,386,20471294.7,17166025.8,26612683.11,22315833.54,F
16/27a- 3,58.01511111,1.317313889,16,27,85,406,28239940.8,20852420.4,36711923.04,27108146.52,F
30/18- 3,56.42753889,2.547419444,30,18,130,235,16928532.9,11162617.2,22007092.77,14511402.36,F
30/19- 1,56.446725,2.704272222,30,19,78,242,72281.7,3885.3,93966.21,5050.89,F
30/19a- 4,56.39321944,2.779508333,30,19,70,255,500567.4,95335.2,650737.62,123935.76,F
30/23- 1,56.17141667,2.469777778,30,23,64,248,0,0,0,0,F
30/23a- 3,56.19463889,2.556333333,30,23,86,261,284417.1,237686.4,369742.23,308992.32,F
30/24- 1,56.17438889,2.771277778,30,24,87,260,141921,68940,184497.3,89622,F
30/24- 3,56.19654722,2.794905556,30,24,32,254,0,0,0,0,F
30/24- 5,56.18808333,2.785861111,30,24,64,256,4528170,2160373.5,5886621,2808485.55,F
30/24- 8,56.17730556,2.753638889,30,24,77,265,5293184.4,3663922.5,6881139.72,4763099.25,F
30/24- 11,56.17883333,2.788805556,30,24,79,246,3886085.7,2661315.3,5051911.41,3459709.89,F
30/24- 13,56.18851722,2.789313333,30,24,79,251,885128.4,85014,1150666.92,110518.2,F
30/24- 17,56.17966667,2.717666667,30,24,82,258,700960.5,287712,911248.65,374025.6,F
30/24- 19,56.20041667,2.673611111,30,24,82,262,13297520.7,10300352.4,17286776.91,13390458.12,F
30/24- 20Z,56.18855556,2.770472222,30,24,80,256,0,0,0,0,F
30/24- 23,56.17186111,2.722555556,30,24,82,261,51108.3,81,66440.79,105.3,F
30/24- 27,56.26517778,2.690502778,30,24,82,261,35523,252,46179.9,327.6,F
30/24- 29,56.19756611,2.701959722,30,24,80,260,803967.3,62296.2,1045157.49,80985.06,F
30/24- 30A,56.19647222,2.680388889,30,24,80,267,0,0,0,0,F
30/24- 34,56.16703222,2.763874722,30,24,80,258,1741844.7,566823.6,2264398.11,736870.68,F
30/24- 37,56.16691667,2.76325,30,24,80,262,194618.7,1112.4,253004.31,1446.12,F
30/24- 39,56.16688889,2.762833333,30,24,86,257,3937563.9,1070487.9,5118833.07,1391634.27,F
30/25a- 2,56.20219667,2.802296667,30,25,82,252,19962,11061.9,25950.6,14380.47,F
21/17- 4,57.46633167,0.263415556,21,17,70,276,1950867.9,317450.7,2536128.27,412685.91,F
